,timestamp,photoIndex,V,geometry,pictureUrl
40382,1496843394.64,120.0,36.8190040994,POINT (-73.97269299999999 40.65259796),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_7627f_59384871ac75f.jpg
40604,1496843396.65,121.0,42.9035939865,POINT (-73.97270883499999 40.652699635),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f045b_59384871d890f.jpg
40793,1496843398.64,122.0,24.2281093374,POINT (-73.97274870499999 40.65280315),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_af262_5938487423bcc.jpg
40998,1496843400.68,123.0,38.3416155924,POINT (-73.97275965 40.65289645),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f4745_59384873d61df.jpg
41301,1496843403.72,124.0,30.1761543024,POINT (-73.972820075 40.65302359),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_02e29_593848750a7f7.jpg
41499,1496843405.66,125.0,33.6128310144,POINT (-73.97285349500001 40.65312917),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_987eb_59384876ef9ae.jpg
41702,1496843407.65,126.0,41.7623348331,POINT (-73.972894205 40.653220895),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_098f8_593848792bb62.jpg
41905,1496843409.65,127.0,29.8669387038,POINT (-73.97291677999999 40.653292395),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_491f6_59384878633b7.jpg
42206,1496843412.65,128.0,27.8590197738,POINT (-73.972942485 40.653438665),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d416b_593848791efd9.jpg
42427,1496843414.64,129.0,35.7596681275,POINT (-73.972981895 40.6535241),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_346a2_5938487a1be6b.jpg
42719,1496843417.64,130.0,27.8923052422,POINT (-73.97302218 40.653643605),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_98182_5938487bcc5b0.jpg
43025,1496843420.65,131.0,32.8475346165,POINT (-73.973035135 40.653769645),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_57272_5938487caec27.jpg
43261,1496843422.64,132.0,31.5166554857,POINT (-73.97305131 40.653869845),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_3f2fe_593848809a294.jpg
43434,1496843424.64,133.0,33.5108361658,POINT (-73.973099855 40.65394466),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f5dc4_5938487de4ae1.jpg
43737,1496843427.64,134.0,53.1562341928,POINT (-73.97312339499999 40.654088915),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e8ff7_5938488014815.jpg
43942,1496843429.65,135.0,45.2028472341,POINT (-73.97312228 40.65416265),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_0d7b4_5938488177fad.jpg
44254,1496843432.66,136.0,42.9596491168,POINT (-73.97317433500001 40.654274495),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_7f324_593848819c418.jpg
44592,1496843435.66,137.0,36.0829194827,POINT (-73.97321405 40.65441129),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_6ebee_593848844244b.jpg
44763,1496843437.66,138.0,37.8324335411,POINT (-73.973236395 40.654508415),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_20220_5938488529dc5.jpg
44974,1496843439.68,139.0,61.6592872529,POINT (-73.973252855 40.65459841),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_ef08b_59384886057d7.jpg
45164,1496843441.66,140.0,44.8581018692,POINT (-73.97325902 40.654692635),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_90056_593848874aa94.jpg
45478,1496843444.65,141.0,51.2933135799,POINT (-73.97330055500001 40.654820075),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_36b99_5938488821c3b.jpg
45680,1496843446.65,142.0,40.5644621142,POINT (-73.97333298000001 40.65490858),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_1e4dc_593848896c0de.jpg
45980,1496843449.66,143.0,27.0378124369,POINT (-73.97337827499999 40.655020075),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d3afb_5938488a2dcd7.jpg
46185,1496843451.69,144.0,39.0649826555,POINT (-73.97339565999999 40.65507654),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_132d8_5938488d79086.jpg
46491,1496843454.67,145.0,30.8582408571,POINT (-73.973425515 40.65516174),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_7a930_5938488b9db93.jpg
46794,1496843457.66,146.0,29.4661975615,POINT (-73.97346958 40.655283575),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_110c0_5938488d709f6.jpg
47098,1496843460.64,147.0,42.0175736919,POINT (-73.97349836000001 40.655409095),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_468f6_5938488e43790.jpg
47426,1496843463.65,148.0,53.5898271947,POINT (-73.97349221500001 40.655531665),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_a4630_5938488f00357.jpg
47710,1496843466.66,149.0,48.9100161838,POINT (-73.97350634 40.655652185),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d299c_5938489084df2.jpg
48012,1496843469.64,150.0,40.548415067,POINT (-73.97351684 40.655768315),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f5f44_5938489195af3.jpg
48324,1496843472.65,151.0,34.3991864701,POINT (-73.97358831 40.65587078),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_750a8_59384892b6468.jpg
48527,1496843474.66,152.0,38.0125684861,POINT (-73.97361762 40.65592036499999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_5ec89_593848934e47c.jpg
48903,1496843477.66,153.0,35.3977192345,POINT (-73.97363021 40.656072805),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_e99ea_593848950f451.jpg
49034,1496843479.67,154.0,46.6416556854,POINT (-73.97366220500001 40.656153255),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_2d42b_59384894ab723.jpg
49335,1496843482.65,155.0,37.3384914349,POINT (-73.97371917999999 40.656284935),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_abbd4_59384895b290c.jpg
